Symbol,Company,Sector,Founded
IP,International Paper,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee"
IPG,Interpublic Group of Companies (The),Advertising,"New York City, New York"
INTU,Intuit,Application Software,"Mountain View, California"
ISRG,Intuitive Surgical,Health Care Equipment,"Sunnyvale, California"
IVZ,Invesco,Asset Management & Custody Banks,"Atlanta, Georgia"
INVH,Invitation Homes,Single-Family Residential REITs,"Dallas, Texas"
IQV,IQVIA,Life Sciences Tools & Services,"Durham, North Carolina"
IRM,Iron Mountain,Other Specialized REITs,"Boston, Massachusetts"
JBHT,J.B. Hunt,Cargo Ground Transportation,"Lowell, Arkansas"
JBL,Jabil,Electronic Manufacturing Services,"St. Petersburg, Florida"
JKHY,Jack Henry & Associates,Transaction & Payment Processing Services,"Monett, Missouri"
J,Jacobs Solutions,Construction & Engineering,"Dallas, Texas"
JNJ,Johnson & Johnson,Pharmaceuticals,"New Brunswick, New Jersey"
JCI,Johnson Controls,Building Products,"Cork, Ireland"
JPM,JPMorgan Chase,Diversified Banks,"New York City, New York"
JNPR,Juniper Networks,Communications Equipment,"Sunnyvale, California"
K,Kellanova,Packaged Foods & Meats,"Chicago, Illinois"
KVUE,Kenvue,Personal Care Products,"Skillman, New Jersey"
KDP,Keurig Dr Pepper,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts"
KEY,KeyCorp,Regional Banks,"Cleveland, Ohio"
KEYS,Keysight Technologies,Electronic Equipment & Instruments,"Santa Rosa, California"
KMB,Kimberly-Clark,Household Products,"Irving, Texas"
KIM,Kimco Realty,Retail REITs,"Jericho, New York"
KMI,Kinder Morgan,Oil & Gas Storage & Transportation,"Houston, Texas"
KKR,KKR & Co.,Asset Management & Custody Banks,"New York City, New York"
KLAC,KLA Corporation,Semiconductor Materials & Equipment,"Milpitas, California"
KHC,Kraft Heinz,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania"
KR,Kroger,Food Retail,"Cincinnati, Ohio"
LHX,L3Harris,Aerospace & Defense,"Melbourne, Florida"
LH,Labcorp,Health Care Services,"Burlington, North Carolina"
LRCX,Lam Research,Semiconductor Materials & Equipment,"Fremont, California"
LW,Lamb Weston,Packaged Foods & Meats,"Eagle, Idaho"
LVS,Las Vegas Sands,Casinos & Gaming,"Las Vegas, Nevada"
LDOS,Leidos,Diversified Support Services,"Reston, Virginia"
LEN,Lennar,Homebuilding,"Miami, Florida"
LII,Lennox International,Building Products,"Richardson, Texas"
LLY,Lilly (Eli),Pharmaceuticals,"Indianapolis, Indiana"
LIN,Linde plc,Industrial Gases,"Guildford, United Kingdom"
LYV,Live Nation Entertainment,Movies & Entertainment,"Beverly Hills, California"
LKQ,LKQ Corporation,Distributors,"Chicago, Illinois"
LMT,Lockheed Martin,Aerospace & Defense,"Bethesda, Maryland"
L,Loews Corporation,Multi-line Insurance,"New York City, New York"
LOW,Lowe's,Home Improvement Retail,"Mooresville, North Carolina"
LULU,Lululemon Athletica,"Apparel, Accessories & Luxury Goods","Vancouver, Canada"
LYB,LyondellBasell,Specialty Chemicals,"Rotterdam, Netherlands"
MTB,M&T Bank,Regional Banks,"Buffalo, New York"
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing,"Findlay, Ohio"
MKTX,MarketAxess,Financial Exchanges & Data,"New York City, New York"
MAR,Marriott International,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland"
MMC,Marsh McLennan,Insurance Brokers,"New York City, New York"
MLM,Martin Marietta Materials,Construction Materials,"Raleigh, North Carolina"
MAS,Masco,Building Products,"Livonia, Michigan"
MA,Mastercard,Transaction & Payment Processing Services,"Harrison, New York"
MTCH,Match Group,Interactive Media & Services,"Dallas, Texas"
MKC,McCormick & Company,Packaged Foods & Meats,"Hunt Valley, Maryland"
MCD,McDonald's,Restaurants,"Chicago, Illinois"
MCK,McKesson Corporation,Health Care Distributors,"Irving, Texas"
MDT,Medtronic,Health Care Equipment,"Dublin, Ireland"
MRK,Merck & Co.,Pharmaceuticals,"Kenilworth, New Jersey"
META,Meta Platforms,Interactive Media & Services,"Menlo Park, California"
MET,MetLife,Life & Health Insurance,"New York City, New York"
MTD,Mettler Toledo,Life Sciences Tools & Services,"Columbus, Ohio"
MGM,MGM Resorts,Casinos & Gaming,"Paradise, Nevada"
MCHP,Microchip Technology,Semiconductors,"Chandler, Arizona"
MU,Micron Technology,Semiconductors,"Boise, Idaho"
MSFT,Microsoft,Systems Software,"Redmond, Washington"
MAA,Mid-America Apartment Communities,Multi-Family Residential REITs,"Memphis, Tennessee"
MRNA,Moderna,Biotechnology,"Cambridge, Massachusetts"
MHK,Mohawk Industries,Home Furnishings,"Calhoun, Georgia"
MOH,Molina Healthcare,Managed Health Care,"Long Beach, California"
TAP,Molson Coors Beverage Company,Brewers,"Chicago, Illinois"
MDLZ,Mondelez International,Packaged Foods & Meats,"Chicago, Illinois"
MPWR,Monolithic Power Systems,Semiconductors,"Kirkland, Washington"
MNST,Monster Beverage,Soft Drinks & Non-alcoholic Beverages,"Corona, California"
MCO,Moody's Corporation,Financial Exchanges & Data,"New York City, New York"
MS,Morgan Stanley,Investment Banking & Brokerage,"New York City, New York"
MOS,Mosaic Company (The),Fertilizers & Agricultural Chemicals,"Tampa, Florida"
MSI,Motorola Solutions,Communications Equipment,"Chicago, Illinois"
MSCI,MSCI Inc.,Financial Exchanges & Data,"New York City, New York"
NDAQ,"Nasdaq, Inc.",Financial Exchanges & Data,"New York City, New York"
NTAP,NetApp,"Technology Hardware, Storage & Peripherals","San Jose, California"
NFLX,Netflix,Movies & Entertainment,"Los Gatos, California"
NEM,Newmont,Gold,"Denver, Colorado"
NWSA,News Corp (Class A),Publishing,"New York City, New York"
NWS,News Corp (Class B),Publishing,"New York City, New York"
NEE,NextEra Energy,Multi-Utilities,"Juno Beach, Florida"
NKE,"Nike, Inc.","Apparel, Accessories & Luxury Goods","Washington County, Oregon"
NI,NiSource,Multi-Utilities,"Merrillville, Indiana"
NDSN,Nordson Corporation,Industrial Machinery & Supplies & Components,"Westlake, Ohio"
NSC,Norfolk Southern,Rail Transportation,"Atlanta, Georgia"
NTRS,Northern Trust,Asset Management & Custody Banks,"Chicago, Illinois"
NOC,Northrop Grumman,Aerospace & Defense,"West Falls Church, Virginia"
NCLH,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines","Miami, Florida"
NRG,NRG Energy,Independent Power Producers & Energy Traders,"Houston, Texas"
NUE,Nucor,Steel,"Charlotte, North Carolina"
NVDA,Nvidia,Semiconductors,"Santa Clara, California"
NVR,"NVR, Inc.",Homebuilding,"Reston, Virginia"
NXPI,NXP Semiconductors,Semiconductors,"Eindhoven, Netherlands"
ORLY,O’Reilly Automotive,Automotive Retail,"Springfield, Missouri"
OXY,Occidental Petroleum,Oil & Gas Exploration & Production,"Houston, Texas"
ODFL,Old Dominion,Cargo Ground Transportation,"Thomasville, North Carolina"
OMC,Omnicom Group,Advertising,"New York City, New York"
ON,ON Semiconductor,Semiconductors,"Phoenix, Arizona"
OKE,Oneok,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
ORCL,Oracle Corporation,Application Software,"Austin, Texas"
OTIS,Otis Worldwide,Industrial Machinery & Supplies & Components,"Farmington, Connecticut"
PCAR,Paccar,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington"
PKG,Packaging Corporation of America,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois"
PLTR,Palantir Technologies,Application Software,"Denver, Colorado"
PANW,Palo Alto Networks,Systems Software,"Santa Clara, California"
PARA,Paramount Global,Movies & Entertainment,"New York City, New York"
PH,Parker Hannifin,Industrial Machinery & Supplies & Components,"Cleveland, Ohio"
PAYX,Paychex,Human Resource & Employment Services,"Penfield, New York"
PAYC,Paycom,Human Resource & Employment Services,"Oklahoma City, Oklahoma"
PYPL,PayPal,Transaction & Payment Processing Services,"San Jose, California"
PNR,Pentair,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom"
PEP,PepsiCo,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York"
PFE,Pfizer,Pharmaceuticals,"New York City, New York"
PCG,PG&E Corporation,Multi-Utilities,"Oakland, California"
PM,Philip Morris International,Tobacco,"New York City, New York"
PSX,Phillips 66,Oil & Gas Refining & Marketing,"Houston, Texas"
PNW,Pinnacle West Capital,Multi-Utilities,"Phoenix, Arizona"
PNC,PNC Financial Services,Diversified Banks,"Pittsburgh, Pennsylvania"
POOL,Pool Corporation,Distributors,"Covington, Louisiana"
PPG,PPG Industries,Specialty Chemicals,"Pittsburgh, Pennsylvania"
PPL,PPL Corporation,Electric Utilities,"Allentown, Pennsylvania"
PFG,Principal Financial Group,Life & Health Insurance,"Des Moines, Iowa"
PG,Procter & Gamble,Personal Care Products,"Cincinnati, Ohio"
PGR,Progressive Corporation,Property & Casualty Insurance,"Mayfield Village, Ohio"
PLD,Prologis,Industrial REITs,"San Francisco, California"
PRU,Prudential Financial,Life & Health Insurance,"Newark, New Jersey"
PEG,Public Service Enterprise Group,Electric Utilities,"Newark, New Jersey"
PTC,PTC Inc.,Application Software,"Boston, Massachusetts"
PSA,Public Storage,Self-Storage REITs,"Glendale, California"
PHM,PulteGroup,Homebuilding,"Atlanta, Georgia"
PWR,Quanta Services,Construction & Engineering,"Houston, Texas"
QCOM,Qualcomm,Semiconductors,"San Diego, California"
DGX,Quest Diagnostics,Health Care Services,"Secaucus, New Jersey"
RL,Ralph Lauren Corporation,"Apparel, Accessories & Luxury Goods","New York City, New York"
RJF,Raymond James Financial,Investment Banking & Brokerage,"St. Petersburg, Florida"
RTX,RTX Corporation,Aerospace & Defense,"Waltham, Massachusetts"
O,Realty Income,Retail REITs,"San Diego, California"
REG,Regency Centers,Retail REITs,"Jacksonville, Florida"
REGN,Regeneron Pharmaceuticals,Biotechnology,"Tarrytown, New York"
RF,Regions Financial Corporation,Regional Banks,"Birmingham, Alabama"
RSG,Republic Services,Environmental & Facilities Services,"Phoenix, Arizona"
RMD,ResMed,Health Care Equipment,"San Diego, California"
RVTY,Revvity,Health Care Equipment,"Waltham, Massachusetts"
ROK,Rockwell Automation,Electrical Components & Equipment,"Milwaukee, Wisconsin"
ROL,"Rollins, Inc.",Environmental & Facilities Services,"Atlanta, Georgia"
ROP,Roper Technologies,Electronic Equipment & Instruments,"Sarasota, Florida"
ROST,Ross Stores,Apparel Retail,"Dublin, California"
RCL,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines","Miami, Florida"
SPGI,S&P Global,Financial Exchanges & Data,"New York City, New York"
CRM,Salesforce,Application Software,"San Francisco, California"
SBAC,SBA Communications,Telecom Tower REITs,"Boca Raton, Florida"
SLB,Schlumberger,Oil & Gas Equipment & Services,"Houston, Texas"
STX,Seagate Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland"
SRE,Sempra,Multi-Utilities,"San Diego, California"
NOW,ServiceNow,Systems Software,"Santa Clara, California"
SHW,Sherwin-Williams,Specialty Chemicals,"Cleveland, Ohio"
SPG,Simon Property Group,Retail REITs,"Indianapolis, Indiana"
SWKS,Skyworks Solutions,Semiconductors,"Irvine, California"
SJM,J.M. Smucker Company (The),Packaged Foods & Meats,"Orrville, Ohio"
SW,Smurfit Westrock,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland"
SNA,Snap-on,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin"
SOLV,Solventum,Health Care Technology,"Saint Paul, Minnesota"
SO,Southern Company,Electric Utilities,"Atlanta, Georgia"
LUV,Southwest Airlines,Passenger Airlines,"Dallas, Texas"
SWK,Stanley Black & Decker,Industrial Machinery & Supplies & Components,"New Britain, Connecticut"
SBUX,Starbucks,Restaurants,"Seattle, Washington"
STT,State Street Corporation,Asset Management & Custody Banks,"Boston, Massachusetts"
STLD,Steel Dynamics,Steel,"Fort Wayne, Indiana"
STE,Steris,Health Care Equipment,"Dublin, Ireland"
SYK,Stryker Corporation,Health Care Equipment,"Kalamazoo, Michigan"
SMCI,Supermicro,"Technology Hardware, Storage & Peripherals","San Jose, California"
SYF,Synchrony Financial,Consumer Finance,"Stamford, Connecticut"
SNPS,Synopsys,Application Software,"Sunnyvale, California"
SYY,Sysco,Food Distributors,"Houston, Texas"
TMUS,T-Mobile US,Wireless Telecommunication Services,"Bellevue, Washington"
TROW,T. Rowe Price,Asset Management & Custody Banks,"Baltimore, Maryland"
TTWO,Take-Two Interactive,Interactive Home Entertainment,"New York City, New York"
TPR,"Tapestry, Inc.","Apparel, Accessories & Luxury Goods","New York City, New York"
TRGP,Targa Resources,Oil & Gas Storage & Transportation,"Houston, Texas"
TGT,Target Corporation,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
TEL,TE Connectivity,Electronic Manufacturing Services,"Galway, Ireland"
TDY,Teledyne Technologies,Electronic Equipment & Instruments,"Thousand Oaks, California"
TER,Teradyne,Semiconductor Materials & Equipment,"North Reading, Massachusetts"
TSLA,"Tesla, Inc.",Automobile Manufacturers,"Austin, Texas"
TXN,Texas Instruments,Semiconductors,"Dallas, Texas"
TPL,Texas Pacific Land Corporation,Oil & Gas Exploration & Production,"Dallas, Texas"
TXT,Textron,Aerospace & Defense,"Providence, Rhode Island"
TMO,Thermo Fisher Scientific,Life Sciences Tools & Services,"Waltham, Massachusetts"
TJX,TJX Companies,Apparel Retail,"Framingham, Massachusetts"
TKO,TKO Group Holdings,Movies & Entertainment,"New York City, New York"
TSCO,Tractor Supply,Other Specialty Retail,"Brentwood, Tennessee"
TT,Trane Technologies,Building Products,"Dublin, Ireland"
TDG,TransDigm Group,Aerospace & Defense,"Cleveland, Ohio"
TRV,Travelers Companies (The),Property & Casualty Insurance,"New York City, New York"
TRMB,Trimble Inc.,Electronic Equipment & Instruments,"Westminster, Colorado"
TFC,Truist Financial,Diversified Banks,"Charlotte, North Carolina"
TYL,Tyler Technologies,Application Software,"Plano, Texas"
TSN,Tyson Foods,Packaged Foods & Meats,"Springdale, Arkansas"
USB,U.S. Bancorp,Diversified Banks,"Minneapolis, Minnesota"
UBER,Uber,Passenger Ground Transportation,"San Francisco, California"
UDR,"UDR, Inc.",Multi-Family Residential REITs,"Highlands Ranch, Colorado"
ULTA,Ulta Beauty,Other Specialty Retail,"Bolingbrook, Illinois"
UNP,Union Pacific Corporation,Rail Transportation,"Omaha, Nebraska"
UAL,United Airlines Holdings,Passenger Airlines,"Chicago, Illinois"
UPS,United Parcel Service,Air Freight & Logistics,"Sandy Springs, Georgia"
URI,United Rentals,Trading Companies & Distributors,"Stamford, Connecticut"
UNH,UnitedHealth Group,Managed Health Care,"Minnetonka, Minnesota"
UHS,Universal Health Services,Health Care Facilities,"King of Prussia, Pennsylvania"
VLO,Valero Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas"
VTR,Ventas,Health Care REITs,"Chicago, Illinois"
VLTO,Veralto,Environmental & Facilities Services,"Waltham, Massachusetts"
VRSN,Verisign,Internet Services & Infrastructure,"Dulles, Virginia"
VRSK,Verisk Analytics,Research & Consulting Services,"Jersey City, New Jersey"
VZ,Verizon,Integrated Telecommunication Services,"New York City, New York"
VRTX,Vertex Pharmaceuticals,Biotechnology,"Boston, Massachusetts"
VTRS,Viatris,Pharmaceuticals,"Pittsburgh, Pennsylvania"
VICI,Vici Properties,Hotel & Resort REITs,"New York City, New York"
V,Visa Inc.,Transaction & Payment Processing Services,"San Francisco, California"
VST,Vistra Corp.,Electric Utilities,"Irving, Texas"
VMC,Vulcan Materials Company,Construction Materials,"Birmingham, Alabama"
WRB,W. R. Berkley Corporation,Property & Casualty Insurance,"Greenwich, Connecticut"
GWW,W. W. Grainger,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois"
WAB,Wabtec,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania"
WBA,Walgreens Boots Alliance,Drug Retail,"Deerfield, Illinois"
WMT,Walmart,Consumer Staples Merchandise Retail,"Bentonville, Arkansas"
DIS,Walt Disney Company (The),Movies & Entertainment,"Burbank, California"
WBD,Warner Bros. Discovery,Broadcasting,"New York City, New York"
WM,Waste Management,Environmental & Facilities Services,"Houston, Texas"
WAT,Waters Corporation,Life Sciences Tools & Services,"Milford, Massachusetts"
WEC,WEC Energy Group,Electric Utilities,"Milwaukee, Wisconsin"
WFC,Wells Fargo,Diversified Banks,"San Francisco, California"
WELL,Welltower,Health Care REITs,"Toledo, Ohio"
WST,West Pharmaceutical Services,Health Care Supplies,"Exton, Pennsylvania"
WDC,Western Digital,"Technology Hardware, Storage & Peripherals","San Jose, California"
WY,Weyerhaeuser,Timber REITs,"Seattle, Washington"
WSM,"Williams-Sonoma, Inc.",Homefurnishing Retail,"San Francisco, California"
WMB,Williams Companies,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
WTW,Willis Towers Watson,Insurance Brokers,"London, United Kingdom"
WDAY,"Workday, Inc.",Application Software,"Pleasanton, California"
WYNN,Wynn Resorts,Casinos & Gaming,"Paradise, Nevada"
XEL,Xcel Energy,Multi-Utilities,"Minneapolis, Minnesota"
XYL,Xylem Inc.,Industrial Machinery & Supplies & Components,"White Plains, New York"
YUM,Yum! Brands,Restaurants,"Louisville, Kentucky"
ZBRA,Zebra Technologies,Electronic Equipment & Instruments,"Lincolnshire, Illinois"
ZBH,Zimmer Biomet,Health Care Equipment,"Warsaw, Indiana"
ZTS,Zoetis,Pharmaceuticals,"Parsippany, New Jersey"
